V_Alter,M_Alter,V_Jahreseinkommen,V_Bildung,M_Bildung,V_Sensitivity,M_Sensitivity,V_Bindung,M_Bindung,V_RF_PDI,M_RF_PDI,V_RF_AAI,M_RF_AAI
32,32,32.000€ - 48.000€,Hochschulabschluss,Matura / Abitur,4,4.5,0,0,3,6,4,4
29,33,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,7,6,1,1,7,6,5.5,5.5
31,32,32.000€ - 48.000€,Matura / Abitur,Matura / Abitur,4,7,0,1,2,5,2,4.5
29,25,32.000€ - 48.000€,Hochschulabschluss,Hochschulabschluss,4,5.5,1,1,5,4,3.5,6
42,37,> 67.000€,Hochschulabschluss,Hochschulabschluss,7,6,1,1,6,4,4.5,6.5
38,38,32.000€ - 48.000€,Hochschulabschluss,Matura / Abitur,4,7,0,0,2,3,2.5,3.5
29,30,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,3.5,4,1,1,5,7,6.5,7
33,34,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,6.5,7,1,1,5,5,7.5,7
28,36,48.000€ - 67.000€,Matura / Abitur,Hochschulabschluss,3,7,1,1,4,6,5.5,6
31,29,48.000€ - 67.000€,Matura / Abitur,Matura / Abitur,4.5,5.5,1,0,4,6,6,5.5
40,33,> 67.000€,Hochschulabschluss,Hochschulabschluss,4.5,7,1,1,5,6,6.5,6.5
32,33,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,6,5.5,1,1,6,5,7.5,6
25,27,< 32.000€,Hochschulabschluss,Hochschulabschluss,5,4,1,1,7,7,6.5,6.5
52,41,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,4.5,6,0,0,3,4,4,5
33,34,32.000€ - 48.000€,Hochschulabschluss,Hochschulabschluss,5,6,0,1,4,5,3,7
31,33,> 67.000€,Hochschulabschluss,Hochschulabschluss,6.5,6,1,1,6,5,6,6.5
31,31,> 67.000€,Hochschulabschluss,Hochschulabschluss,6,7,1,1,7,6,6.5,7
36,32,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,4,7,0,1,4,5,5,6
30,33,48.000€ - 67.000€,NA,Matura / Abitur,7,6,1,1,6,5,5.5,6.5
41,27,> 67.000€,Hochschulabschluss,Matura / Abitur,4,4,1,1,2,5,4,5.5
34,28,> 67.000€,Hochschulabschluss,Hochschulabschluss,5,7,1,1,4,6,5,6
33,34,> 67.000€,Matura / Abitur,Hochschulabschluss,6,5.5,1,1,7,7,6,7.5
31,29,48.000€ - 67.000€,Lehre,Matura / Abitur,5.5,4,0,1,1,3,3,4.5
34,31,32.000€ - 48.000€,Hochschulabschluss,Hochschulabschluss,6,7,1,1,6,7,6.5,7
32,31,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,2.5,4,0,0,2,5,4,3.5
32,30,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,3,4,1,1,1,4,6,6
26,25,32.000€ - 48.000€,Lehre,Matura / Abitur,4,5.5,0,0,6,7,5,4
21,22,< 32.000€,Lehre,Matura / Abitur,4,5.5,0,1,3,5,2.5,3.5
29,33,32.000€ - 48.000€,Lehre,Hochschulabschluss,6,6,1,1,4,6,6.5,6
35,30,> 67.000€,Hochschulabschluss,Hochschulabschluss,4,7,1,1,3,7,6,6
40,38,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,5.5,5.5,1,1,6,6,7,6.5
31,31,32.000€ - 48.000€,Hochschulabschluss,Matura / Abitur,4,4,1,1,4,4,6,7.5
35,32,48.000€ - 67.000€,Matura / Abitur,Hochschulabschluss,5,5.5,1,1,5,5,5,6.5
29,30,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,5,4,1,1,5,6,6,6.5
40,37,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,6,7,1,0,5,5,7,5
24,32,> 67.000€,Matura / Abitur,Lehre,4,5.5,0,0,2,4,2.5,3.5
24,31,> 67.000€,NA,Matura / Abitur,5.5,4,0,0,3,4,4,2.5
33,31,> 67.000€,Hochschulabschluss,Hochschulabschluss,5,5.5,1,1,6,5,4,4.5
40,33,> 67.000€,Hochschulabschluss,Hochschulabschluss,6,7,0,1,5,8,4,7.5
35,27,48.000€ - 67.000€,Hochschulabschluss,Hochschulabschluss,6,5,1,1,6,5,6,4.5
